total_transactions,num_deposit,num_borrow,num_repay,num_redeem,num_liquidation,total_usd_deposit,total_usd_borrow,total_usd_repay,wallet,avg_tx_interval,repay_borrow_ratio
1,1,0,0,0,0,0.032446847156000054,0.0,0.0,0x0009ce45d5df78e632a0b4987079432dfba2253a,0.0,0.0
12,4,2,2,4,0,2.7788499723935907e-10,1.603863100380374e-10,1.6022581757470163e-10,0x000a27ba176083e4b50177378cbe7469a00dd557,260661.63636363635,0.9989993381399092
43,18,8,5,12,0,19326.63909054446,73.56464165297409,1.3381494379508397e-08,0x000a3d1bef684a7c029267a26068de56b1c1b4dc,53307.5,1.8190116989399358e-10
2,1,1,0,0,0,0.1136523793834397,0.011365237938343969,0.0,0x000ab43e658935ba39504a1424b01756c1e9644c,44.0,0.0
77,49,0,0,28,0,273.51154447846056,0.0,0.0,0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,140136.63157894736,0.0
4,1,1,1,1,0,5480.588573862458,2366.767191230522,2366.767191230522,0x000c8e2871750f458bf1de8ab528dda09bc95db6,20.0,1.0
71,20,20,17,14,0,187.6106304033217,9.638765146793131e-10,9.330977900335208e-10,0x000cdb5d7a2cda2947603f2993f05db57e3197dc,81640.55714285714,0.9680677719842229
6,4,1,1,0,0,282.1056376025053,4.010267633402084e-11,4.031433339845019e-11,0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,529878.4,1.0052778787796213
1,1,0,0,0,0,0.0012181088062153706,0.0,0.0,0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,0.0,0.0
1,1,0,0,0,0,0.13920558505203293,0.0,0.0,0x000dd5baf04ffe492508f5f45ac3d9374b193f57,0.0,0.0
8,1,3,2,2,0,760.4061861653315,8.867244790708097e-10,5.036501564107848e-10,0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,994476.2857142857,0.5679894581669327
8,6,0,0,2,0,7053.997334319023,0.0,0.0,0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,250784.42857142858,0.0
10,5,2,2,1,0,700.190083689281,2.168257036891647e-10,2.173913973215126e-10,0x000e840a3122ec28d0c29321db172375cb049762,252442.88888888888,1.0026089786530055
22,8,6,4,4,0,66.65412381021297,3.463095615590086e-11,3.537800801727156e-11,0x000e9bd1d42999446d60ff60f1fb3afb13604202,8119.428571428572,1.0215717942642888
1,1,0,0,0,0,1.097254760600487,0.0,0.0,0x000eab293e332bd6e67018a9150e8807bfac3233,0.0,0.0
2,1,0,0,1,0,102.37738923188869,0.0,0.0,0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,1354343.0,0.0
25,7,6,3,9,0,31488.764002887656,1.760397911970302e-08,1.7566377247476396e-08,0x000f4432a40560bbff1b581a8b7aded8dab80026,65319.5,0.9978640129046428
73,26,19,13,15,0,40942704.98824153,34436280.28011005,34334725.65069429,0x000f7f22bfc28d940d4b68e13213ab17cf107790,3392.402777777778,0.9970509407929746
96,32,30,17,17,0,1533.5142063321434,796.4431003956306,792.7758701469054,0x000f908720f9ce164d90f4fc89459fab4442907f,1231.1684210526316,0.9953954899641876
8,3,1,1,3,0,591.4282535689781,140.01063060029028,139.70001148776586,0x000fbfec300959d0f2f327728a889c1f5de8e2df,99181.0,0.9977814605134435
4,1,1,1,1,0,1507.324205025002,738.0253561825903,738.0253561825903,0x0011730224657eb527cf736039854c3a3f140e63,46.0,1.0
4,2,1,1,0,0,261.125891711734,2.602967788219515e-12,2.6163774015531503e-12,0x00120ea6fdbaf057eadc1bd149f957488444e92c,1572.0,1.0051516631878137
2,2,0,0,0,0,2.2961814875215225,0.0,0.0,0x0012668072f7e0579caf7e047713d8b6d476d0db,239792.0,0.0
231,101,24,93,11,2,18386.33810321085,4965.173744632387,935.1319572950626,0x00129c4ce6be31b273de64c65ff3fcdd4706a002,23291.534782608695,0.18833821440911092
1,0,0,0,1,0,0.0,0.0,0.0,0x0012a7f00af8a643ba5a6aa187f915b4c13289df,0.0,0.0
1,1,0,0,0,0,0.20424043145808832,0.0,0.0,0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,0.0,0.0
2,2,0,0,0,0,2.4353377818598245e-12,0.0,0.0,0x00133f29e7d424f4e5773532b3fc35d020e9c54e,526544.0,0.0
36,10,6,9,11,0,86721.51626282626,1.8149001627910837e-08,1.8188824774686095e-08,0x0014dfac19477a83d7354e6eaac28642c1959398,74532.54285714286,1.0021942334675873
30,19,2,0,9,0,3758.4671136086754,1419.946916528213,0.0,0x001589fe1923c2118f34e4277f2ef650fcbf0161,395577.5862068966,0.0
19,10,7,0,2,0,2451.0907774069797,2348.7368202867215,0.0,0x00159370cbe576b765a7fb2e78582e0cb563d445,99978.05555555556,0.0
2,1,0,0,1,0,1.414367721676618e-11,0.0,0.0,0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,1758.0,0.0
2,1,1,0,0,0,0.020668510838366422,0.004676133673838557,0.0,0x0016469a65facda9e86fd0ae0e9661128843c224,0.0,0.0
1,1,0,0,0,0,0.20245672002376752,0.0,0.0,0x0016dcd1d3c93067dce5bb30dc33258f36d33308,0.0,0.0
54,15,13,10,16,0,1662.2293870576696,3849.7900537521605,1709.0734256336661,0x00183135585d70a523d61b2e43037a7138b36906,93152.09433962264,0.4439393841666598
4,1,1,1,1,0,102.30571110800008,24.98479710580002,24.98479710580002,0x00184e8aa1e95f491f2d9601e12b540092160ded,24.0,1.0
72,72,0,0,0,0,0.00026058312862381076,0.0,0.0,0x0018583d7654803d2c59467e10dec5f70bbe1851,27009.408450704224,0.0
2,2,0,0,0,0,2.2596098782034474e-12,0.0,0.0,0x001875a076b3cfe1c9535d76b0345c16e3d61118,471652.0,0.0
22,9,2,2,9,0,28720.331146862183,1.1215514727063227e-12,1.121345368530205e-12,0x0018d044b946ede86b43bb3b964a45772a5abeb9,219264.52380952382,0.9998162329762535
5,0,1,2,2,0,0.0,7.900412443596894e-11,1.5872329212505054e-10,0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,307012.75,2.009050707899335
1,1,0,0,0,0,0.1266083922640406,0.0,0.0,0x0019bd9f6142943f3a03a8a62d0001a95213f555,0.0,0.0
2,1,1,0,0,0,901.2925262863051,4.987405943962264e-10,0.0,0x001b024b98ee862aa01eea595c4c16a0213d2611,124.0,0.0
32,10,6,7,9,0,46.71078768415252,2.348782142990087e-10,2.352622310010467e-10,0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,64324.709677419356,1.001634960922979
45,12,10,9,14,0,114723.42231228866,5.4445837409092946e-08,5.450363129933801e-08,0x001bc97d92e1a30b02d4e75be25f06063555d556,18721.659090909092,1.0010614932746982
2,2,0,0,0,0,1.586084926828216,0.0,0.0,0x001be549fa377710b9e59d57bbdf593ce1e379ca,1786590.0,0.0
2,2,0,0,0,0,1.812428653548691,0.0,0.0,0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,837960.0,0.0
1,1,0,0,0,0,1.5659901853326883,0.0,0.0,0x001d2a3192a49e28cac0a7abcaa916648c62b982,0.0,0.0
1,1,0,0,0,0,1.1337851305503867e-12,0.0,0.0,0x001d4aa3f14b6e0019e5615e9c8eb50659061220,0.0,0.0
1,1,0,0,0,0,5.666408226639781e-10,0.0,0.0,0x001f96b7e19a54ae45f451b0148336504d03fdcf,0.0,0.0
6,5,0,0,1,0,1196.3032316799445,0.0,0.0,0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,1179502.0,0.0
1,1,0,0,0,0,2.360514637371101e-14,0.0,0.0,0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,0.0,0.0
1,0,0,0,1,0,0.0,0.0,0.0,0x0020c5222a24e4a96b720c06b803fb8d34adc0af,0.0,0.0
2,2,0,0,0,0,1.1579563337896022,0.0,0.0,0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,528500.0,0.0
1,1,0,0,0,0,1.10570237623672,0.0,0.0,0x00222d56e0509a5e9ab05c588c548290a5e9f876,0.0,0.0
1,1,0,0,0,0,1.1886507952922616,0.0,0.0,0x002379916ac42a432f3b53f16782d33267debb4c,0.0,0.0
2,2,0,0,0,0,2.2596098782034474e-12,0.0,0.0,0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,471614.0,0.0
2,2,0,0,0,0,1.5189578905507385e-11,0.0,0.0,0x0023d9ffe7d793895c5da5833d56c737832ead2b,74.0,0.0
1,1,0,0,0,0,5.1299814105567535e-12,0.0,0.0,0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,0.0,0.0
2,2,0,0,0,0,3.1033054982620953,0.0,0.0,0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,87642.0,0.0
1,0,0,0,1,0,0.0,0.0,0.0,0x0024461e7a8ce7157866eaa4c24b702d328250ce,0.0,0.0
1,1,0,0,0,0,0.026044090290244567,0.0,0.0,0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,0.0,0.0
44,30,9,2,3,0,7438978.731874707,5816299.443463209,5472177.71761479,0x00246f7813397868b1beec56e1677efa47816dae,42249.232558139534,0.9408349365101606
1,1,0,0,0,0,0.1422024974218183,0.0,0.0,0x0025a856d01a898bd52286d56c52323b13937b65,0.0,0.0
2,1,1,0,0,0,0.032239917783138006,0.004713438272388597,0.0,0x00261d225db379b3fc74cd0228d6f90582d39035,0.0,0.0
10,4,3,1,2,0,1.0141967361600113e-10,5.72428581078788e-11,5.695340624693982e-11,0x00262ffcfda82b5582d1905ca05b849f196b0419,36100.0,0.9949434414963438
1,1,0,0,0,0,0.16209142428199927,0.0,0.0,0x0026bc865efa2fb74d18c3be5a77c780756e50e6,0.0,0.0
1,1,0,0,0,0,1.862989298047552e-12,0.0,0.0,0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,0.0,0.0
1,1,0,0,0,0,0.2045908664031135,0.0,0.0,0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,0.0,0.0
30,17,7,5,1,0,81.79004375676156,68.52293627181609,3.3863082668681677,0x002775390698ef16589bb22bba37ae7906ae2f36,60373.24137931035,0.04941861004664765
1,1,0,0,0,0,1.8864509259060726e-12,0.0,0.0,0x0027c6cd01364a3c5d29f72269b36dfe85628193,0.0,0.0
13,6,2,2,3,0,646.5885046937107,1.5686763662421106e-09,1.5716110933811845e-09,0x0027f7335d610f15b325baa5798414548720fcaa,9735.0,1.0018708302121644
1,1,0,0,0,0,7.20152067392015e-12,0.0,0.0,0x00283b611db7844cb5677b311afd67c8e3078518,0.0,0.0
1,1,0,0,0,0,0.03737532010034612,0.0,0.0,0x00296e3cb10f1ddf6be160aa9722d7a288957b66,0.0,0.0
2,2,0,0,0,0,2.123490954986433,0.0,0.0,0x0029ab135b5be72168bf80f140d60a9264dbd0c5,320940.0,0.0
1,1,0,0,0,0,1.1058755718750976e-12,0.0,0.0,0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,0.0,0.0
41,12,10,5,14,0,2085.9408839816874,962.2995982105101,5.838228517532286e-07,0x002aea16059a7d4bef638a03b61a9e80ef07e745,178545.625,6.06695516488736e-10
2,2,0,0,0,0,3.1415513028579413e-12,0.0,0.0,0x002bb13a55bf4525f02717708dd4534ecc475193,68.0,0.0
1,1,0,0,0,0,1.1597473478486582e-12,0.0,0.0,0x002c77a71d54e6da4b28690fe1676752a74a67eb,0.0,0.0
5,2,1,1,1,0,0.3547587375051269,2.7225309172016468e-12,2.7225309172016468e-12,0x002cd2707daccbd5f3f192a565fca0a2cea021a6,389331.75,1.0
253,98,64,38,53,0,171702.46815323562,31579.052641518676,13121.661889422496,0x002d2715b179d0db3e17cc28317a98f2f65e6884,34932.38888888889,0.41551790797456484
1,1,0,0,0,0,1.058311089277293,0.0,0.0,0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,0.0,0.0
29,5,5,16,3,0,7541.229326265331,4.5074620831285474e-09,1.386103831655126e-09,0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,397271.6785714286,0.3075131428932746
85,32,13,15,25,0,45576.11237307446,4.306764650300531e-08,4.377410099962049e-08,0x002de04d579930686698abab5f48bda0b24fb9fc,82631.25,1.0164033689782859
4,1,1,1,1,0,8185.806955103062,2495.5332672426603,2495.5332672426603,0x002e5e69ae7c8999834ee24aeb5c26ad05433820,44.0,1.0
6,1,0,0,5,0,1.5030517322502182e-11,0.0,0.0,0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,1243257.0,0.0
1,1,0,0,0,0,1.2361424916557983e-14,0.0,0.0,0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,0.0,0.0
108,61,26,12,9,0,7103.870377338908,144.77163586772275,2.528028174943289e-09,0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,84943.30841121495,1.7462178691226077e-11
2,0,0,0,2,0,0.0,0.0,0.0,0x0030040e8d836ac3e546c354f9b373e70a14deeb,246.0,0.0
58,35,23,0,0,0,16297.73189533512,4916.033571209256,0.0,0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,61654.350877192985,0.0
1,1,0,0,0,0,1.815047297099417,0.0,0.0,0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,0.0,0.0
3,1,0,0,2,0,1.967159780669421e-10,0.0,0.0,0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,1439000.0,0.0
2,2,0,0,0,0,2.2596098782034474e-12,0.0,0.0,0x003094a91a3b5523bc601b221f80183bd347e9ae,471634.0,0.0
1,1,0,0,0,0,0.04768792449483425,0.0,0.0,0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,0.0,0.0
67,37,11,11,8,0,94769.29623780602,54754.060809285016,53839.64951151899,0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,95750.90909090909,0.983299662449676
1,1,0,0,0,0,1.0031586054611734,0.0,0.0,0x0030de8f624d2b2513c6dbbff788bb109b80304d,0.0,0.0
2,2,0,0,0,0,9.008727638327205e-06,0.0,0.0,0x0030e3b40e23f92bd064457fd1fb848482a0bde5,66.0,0.0
16,8,7,1,0,0,3999.417260580614,765.1818637582537,1.81691479412184e-09,0x0030ee334630838ea4dee0b4b6ecbc973529031f,426478.73333333334,2.374487530582486e-12
1,1,0,0,0,0,1.0519093751900908,0.0,0.0,0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,0.0,0.0
2,2,0,0,0,0,26.554821136395518,0.0,0.0,0x00326e37cef76788f6b0cf643c94481d60bd3d58,11281.0,0.0
523,179,154,148,42,0,3191776.5744208843,5323129.221099337,1055508.50718239,0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,17178.28544061303,0.19828722229749018
5,0,0,0,5,0,0.0,0.0,0.0,0x003325d3054cd7668fb16f19ea11bae6d02a474c,145695.0,0.0
162,59,45,21,37,0,60563024.616417125,35059576.6526269,35021753.381240435,0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,13166.447204968945,0.9989211714744527
1,1,0,0,0,0,648.7740221834814,0.0,0.0,0x0034d2a08772822866b08d2c585e5c8e25723760,0.0,0.0
5,0,0,0,5,0,0.0,0.0,0.0,0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,665960.0,0.0
26,14,8,2,2,0,2563.293013287098,558.8776187173474,9.149663936533417e-10,0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,72253.36,1.6371498213745543e-12
